Tarih,imdi,Açılış,Yüksek,Düşük,Hac.,Fark 
20.10.2022,18.5973,18.5954,18.6222,18.4045,,0.13
19.10.2022,18.5732,18.5736,18.643,18.5236,,-0.09
19.10.2022,18.5907,18.5849,18.6156,18.389,,0.04
18.10.2022,18.5829,18.5822,18.6249,18.5506,,-0.02
18.10.2022,18.5872,18.5682,18.6119,18.4018,,0.00
17.10.2022,18.5875,18.6074,18.6342,18.5237,,0.03
17.10.2022,18.581,18.591,18.6161,18.421,,0.04
14.10.2022,18.574,18.5676,18.609,18.3996,,0.08
13.10.2022,18.5585,18.5289,18.6033,18.5289,,0.01
13.10.2022,18.5564,18.5971,18.6256,18.4295,,0.12
12.10.2022,18.535,18.5046,18.591,18.4883,,-0.19
12.10.2022,18.5698,18.6011,18.6208,18.4067,,0.22
11.10.2022,18.5291,18.5797,18.6236,18.4888,,-0.34
11.10.2022,18.5922,18.5781,18.6687,18.3987,,0.08
10.10.2022,18.5775,18.5492,18.6644,18.5105,,-0.01
10.10.2022,18.5795,18.5658,18.6369,18.3959,,-0.01
07.10.2022,18.5821,18.5921,18.66,18.42,,0.11
06.10.2022,18.562,18.5799,18.6485,18.5281,,-0.07
06.10.2022,18.5755,18.568,18.6227,18.3917,,-0.04
05.10.2022,18.582,18.5568,18.6537,18.5344,,0.12
05.10.2022,18.5595,18.7385,18.8167,18.5565,,0.02
04.10.2022,18.5565,18.536,18.6463,18.5188,,-0.12
04.10.2022,18.5779,18.5556,18.6001,18.2411,,0.25
03.10.2022,18.5309,18.5219,18.6264,18.4275,,-0.08
03.10.2022,18.5448,18.4865,18.571,18.342,,0.23
30.09.2022,18.5024,18.4986,18.5567,18.3424,,0.01
29.09.2022,18.5,18.4944,18.5715,18.4447,,0.01
29.09.2022,18.4987,18.5089,18.5516,18.3826,,0.25
28.09.2022,18.4519,18.4679,18.5592,18.4363,,-0.30
28.09.2022,18.507,18.3982,18.553,18.303,,-0.16
27.09.2022,18.5367,18.43,18.5713,18.3846,,0.53
27.09.2022,18.4382,18.4366,18.5276,18.283,,0.05
26.09.2022,18.4297,18.4475,18.5823,18.3863,,-0.15
26.09.2022,18.4577,18.424,18.5008,18.284,,0.23
23.09.2022,18.4156,18.3183,18.4215,18.1726,,0.01
22.09.2022,18.4131,18.3127,18.4627,18.2905,,0.39
